"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Alpha, Beta & Gamma",2021-01-13,0,0,0.01152,"Jan 13, 2021<br><b>Alpha, Beta & Gamma</b> 0%"
"Delta",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-01-14,NA,0,0.01152,"Jan 14, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-15,0,0,0.01152,"Jan 15, 2021<br><b>Alpha, Beta & Gamma</b> 0%"
"Delta",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-15,NA,NA,NA,"Jan 15, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-01-16,NA,NA,0.01152,"Jan 16, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-16,NA,NA,NA,"Jan 16, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-17,NA,NA,0.01152,"Jan 17, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-17,NA,NA,NA,"Jan 17, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-18,NA,NA,0.01152,"Jan 18, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-18,NA,NA,NA,"Jan 18, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-19,0.04608,0.04608,0.01152,"Jan 19, 2021<br><b>Alpha, Beta & Gamma</b> 4.61%"
"Delta",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-19,NA,NA,NA,"Jan 19, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-01-20,NA,NA,0.01536,"Jan 20, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-20,NA,NA,NA,"Jan 20, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-21,NA,NA,0.02304,"Jan 21, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-21,NA,NA,NA,"Jan 21, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-22,NA,NA,0.04608,"Jan 22, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-22,NA,NA,NA,"Jan 22, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-23,NA,NA,0.04608,"Jan 23, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-23,NA,NA,NA,"Jan 23, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-24,NA,NA,0.04608,"Jan 24, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-24,NA,NA,NA,"Jan 24, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-25,0.044385,0.044385,0.045233,"Jan 25, 2021<br><b>Alpha, Beta & Gamma</b> 4.44%"
"Delta",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-25,NA,NA,NA,"Jan 25, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-01-26,NA,0.022192,0.033289,"Jan 26, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-26,NA,NA,NA,"Jan 26, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-27,0,0,0.022192,"Jan 27, 2021<br><b>Alpha, Beta & Gamma</b> 0%"
"Delta",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-27,NA,NA,NA,"Jan 27, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-01-28,NA,NA,0.022192,"Jan 28, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-28,NA,NA,NA,"Jan 28, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-29,NA,NA,0.022192,"Jan 29, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-29,NA,NA,NA,"Jan 29, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-30,NA,NA,0.022192,"Jan 30, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-01-30,NA,NA,NA,"Jan 30, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-01-31,0.022703,0.022703,0.02232,"Jan 31, 2021<br><b>Alpha, Beta & Gamma</b> 2.27%"
"Delta",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-31,NA,NA,NA,"Jan 31, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-02-01,NA,NA,0.014965,"Feb 01, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-02-01,NA,NA,NA,"Feb 01, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
