"date","copies_day_person_M_mn","copies_day_person_M_se"
2020-11-01,181.443160621865,0.575519556027
2020-11-02,227.49600711663,21.5505712722489
2020-11-03,221.137469982718,54.5475164671442
2020-11-04,167.51524783265,8.2005633967934
2020-11-05,218.781077435588,5.54561993562206
2020-11-06,NA,NA
2020-11-07,NA,NA
2020-11-08,261.297959857772,32.0157441002676
2020-11-09,392.149755157747,27.1195155258894
2020-11-10,342.423431925838,1.95712770014523
2020-11-11,342.089222697338,35.1854431128527
2020-11-12,383.230627459356,24.9043091355074
2020-11-13,NA,NA
2020-11-14,NA,NA
2020-11-15,345.281215419136,45.0195411769084
2020-11-16,455.447771721379,27.3563791670591
2020-11-17,389.719165941409,9.85936398147775
2020-11-18,358.788810699128,12.6937969676166
2020-11-19,601.027103151568,49.5336783681148
2020-11-20,NA,NA
2020-11-21,NA,NA
2020-11-22,500.992779539125,6.237401415063
2020-11-23,380.120036870262,32.084760673675
2020-11-24,246.113093678704,3.84924426694173
2020-11-25,334.996699125773,52.6479802347337
2020-11-26,315.140969399386,2.16278527869369
2020-11-27,NA,NA
2020-11-28,NA,NA
2020-11-29,208.945920828607,12.1223150016969
2020-11-30,383.727781720463,62.5057866179929
2020-12-01,287.195307587188,13.6263173278237
2020-12-02,334.952694003296,16.9648731350756
2020-12-03,345.767248018214,9.66080465481068
2020-12-04,224.550218876881,NA
2020-12-05,179.223795709211,NA
2020-12-06,232.221758347164,1.27704523518541
2020-12-07,224.748724429736,4.51600663122577
2020-12-08,203.812990927338,20.2491656984275
2020-12-09,188.020545746106,10.5936529903495
2020-12-10,233.413790569801,NA
2020-12-11,NA,NA
2020-12-12,201.046786216965,NA
2020-12-13,271.202877237533,NA
2020-12-14,472.668299609863,110.316666914892
2020-12-15,198.723306810292,0.401718790637553
2020-12-16,231.845446175063,1.17990244530621
2020-12-17,156.888394655851,31.3329407026968
2020-12-18,NA,NA
2020-12-19,NA,NA
2020-12-20,171.803878647261,16.6261418241833
2020-12-21,NA,NA
2020-12-22,195.685145474702,9.11796334034996
2020-12-23,173.381569578808,23.8841571889776
2020-12-24,181.785540763473,32.9520230066789
2020-12-25,98.5831094803736,17.0798830868588
2020-12-26,151.157103428822,NA
2020-12-27,158.88721513485,14.8413314541808
2020-12-28,160.350710763665,10.9055337761668
2020-12-29,125.558350730623,0.984487224002324
2020-12-30,73.6635842118779,NA
2020-12-31,124.432518412093,NA
2021-01-01,134.178898748036,NA
2021-01-02,131.899109454603,NA
2021-01-03,80.1607209042029,3.89975707301813
2021-01-04,122.367688426396,22.708555286563
2021-01-05,119.082353677732,23.3130251710368
2021-01-06,113.060815434561,6.12890659426034
2021-01-07,143.352302516342,7.71701671541751
2021-01-08,NA,NA
2021-01-09,NA,NA
2021-01-10,100.359174993527,10.786860404703
2021-01-11,100.274789916578,2.8895836094989
2021-01-12,91.0569739355713,13.1497903391335
2021-01-13,84.7376064042682,12.1452553961737
2021-01-14,104.465367805863,9.85593953522748
2021-01-15,102.718567095042,NA
2021-01-16,89.4201868111068,NA
2021-01-17,82.8907444445802,4.25746347820078
2021-01-18,84.9578206884439,8.10492163961069
2021-01-19,55.5775576533467,22.5034292785141
2021-01-20,81.3211188199193,NA
2021-01-21,77.359545328408,13.1464518088332
2021-01-22,47.6866640905969,3.68620474008453
2021-01-23,59.3100356685249,9.74888307597757
2021-01-24,76.7035945424402,14.734546893296
2021-01-25,110.084456851669,17.5017233395518
2021-01-26,99.8264908274426,16.4113651363059
2021-01-27,NA,NA
2021-01-28,63.361920771065,12.1075889034107
2021-01-29,63.314365440559,4.81953212579776
2021-01-30,78.2335128791676,NA
2021-01-31,22.0692720567967,NA
2021-02-01,52.7916666980816,2.85552591273075
2021-02-02,84.8263312636374,NA
2021-02-03,36.0580109423915,13.4490103179996
2021-02-04,33.0804809877369,2.09657545725609
2021-02-05,66.101997118945,NA
2021-02-06,47.2420277140931,4.45064669280358
2021-02-07,54.2432271827955,7.22998956092978
2021-02-08,86.8596473496241,0.448767649759418
2021-02-09,51.9159255468301,NA
2021-02-10,30.74217591259,5.76146464614876
2021-02-11,44.1141015084968,2.71685403035144
2021-02-12,41.2039850956328,4.73936536230563
2021-02-13,34.4143039924221,16.049188507025
2021-02-14,24.4968313462172,0.266701120593598
2021-02-15,34.3985347455688,4.58157182306316
2021-02-16,26.3959050503362,0.362471502954033
2021-02-17,23.3600334895966,0.628907289220557
2021-02-18,NA,NA
2021-02-19,NA,NA
2021-02-20,50.6299270460619,2.96153925842293
2021-02-21,47.5074935370986,0.437587395353612
2021-02-22,52.7195026480089,NA
2021-02-23,33.5882540545647,0.829790901865272
2021-02-24,28.9611801686879,2.73689327127617
2021-02-25,31.726170668195,4.28661567657099
2021-02-26,29.9698540857068,0.390513789697278
2021-02-27,32.4285135728866,0.281662825659601
2021-02-28,41.1347844701155,0.437697969902375
2021-03-01,34.8276664997094,1.17022852380914
2021-03-02,43.7240742068296,5.89665770575682
2021-03-03,43.2834059394677,2.53524959535729
2021-03-04,24.893322913328,2.68493543802687
2021-03-05,37.8480220960561,1.90172193357247
2021-03-06,34.2266938895702,2.21807609065159
2021-03-07,32.1456036740988,2.86866081666725
2021-03-08,38.3252182625151,2.52975767513215
2021-03-09,135.993273947637,21.3471525212901
2021-03-10,135.087513311785,2.25316744266158
2021-03-11,34.9244867483914,2.03117394929668
2021-03-12,192.663998057237,10.515846931219
2021-03-13,45.0095830676621,1.78913335989581
2021-03-14,41.5665556912838,1.99619105742713
2021-03-15,38.1185644509275,5.6095607940556
