sample_id,sample_start_date
272,4/26/2021
281,4/27/2021
282,4/27/2021
294,4/28/2021
295,4/28/2021
301,4/29/2021
302,4/29/2021
512,4/30/2021
513,4/30/2021
521,5/1/2021
524,5/1/2021
531,5/2/2021
533,5/2/2021
543,5/3/2021
542,5/3/2021
552,5/4/2021
553,5/4/2021
561,5/5/2021
562,5/5/2021
701,5/6/2021
702,5/6/2021
582,5/7/2021
583,5/7/2021
591,5/8/2021
592,5/8/2021
5101,5/9/2021
5102,5/9/2021
114,5/10/2021
115,5/10/2021
121,5/11/2021
122,5/11/2021
131,5/12/2021
132,5/12/2021
142,5/13/2021
143,5/13/2021
151,5/14/2021
152,5/14/2021
161,5/15/2021
162,5/15/2021
171,5/16/2021
172,5/16/2021
181,5/17/2021
184,5/17/2021
192,5/18/2021
193,5/18/2021
201,5/19/2021
206,5/19/2021
211,5/20/2021
212,5/20/2021
221,5/21/2021
222,5/21/2021
231,5/22/2021
232,5/22/2021
241,5/23/2021
242,5/23/2021
251,5/24/2021
252,5/24/2021
261,5/25/2021
262,5/25/2021
271,5/26/2021
272,5/26/2021
281,5/27/2021
282,5/27/2021
291,5/28/2021
292,5/28/2021
301,5/29/2021
304,5/29/2021
311,5/30/2021
312,5/30/2021
612,5/31/2021
613,5/31/2021
621,6/1/2021
622,6/1/2021
631,6/2/2021
633,6/2/2021
641,6/3/2021
642,6/3/2021
651,6/4/2021
652,6/4/2021
663,6/5/2021
664,6/5/2021
671,6/6/2021
673,6/6/2021
682,6/7/2021
683,6/7/2021
691,6/8/2021
692,6/8/2021
101,6/9/2021
102,6/9/2021
111,6/10/2021
112,6/10/2021
121,6/11/2021
122,6/11/2021
131,6/12/2021
132,6/12/2021
141,6/13/2021
142,6/13/2021
151,6/14/2021
152,6/14/2021
162,6/15/2021
163,6/15/2021
174,6/16/2021
176,6/16/2021
181,6/17/2021
184,6/17/2021
191,6/18/2021
192,6/18/2021
201,6/19/2021
202,6/19/2021
213,6/20/2021
214,6/20/2021
223,6/21/2021
224,6/21/2021
233,6/22/2021
234,6/22/2021
241,6/23/2021
242,6/23/2021
6255,6/24/2021
6256,6/24/2021
6261,6/25/2021
6262,6/25/2021
6272,6/26/2021
6273,6/26/2021
6282,6/27/2021
6283,6/27/2021
6293,6/28/2021
6294,6/28/2021
6302,6/29/2021
6303,6/29/2021
711,6/30/2021
712,6/30/2021
721,7/1/2021
722,7/1/2021
733,7/2/2021
734,7/2/2021
742,7/3/2021
743,7/3/2021
753,7/4/2021
754,7/4/2021
764,7/5/2021
765,7/5/2021
773,7/6/2021
774,7/6/2021
782,7/7/2021
787,7/7/2021
791,7/8/2021
792,7/8/2021
7102,7/9/2021
7103,7/9/2021
7111,7/10/2021
7112,7/10/2021
7122,7/11/2021
7123,7/11/2021
7132,7/12/2021
7133,7/12/2021
7141,7/13/2021
7143,7/13/2021
7151,7/14/2021
7152,7/14/2021
7162,7/15/2021
7163,7/15/2021
7171,7/16/2021
7172,7/16/2021
7181,7/17/2021
7182,7/17/2021
7193,7/18/2021
7194,7/18/2021
7201,7/19/2021
7202,7/19/2021
7211,7/20/2021
7212,7/20/2021
7221,7/21/2021
7222,7/21/2021
7237,7/22/2021
7238,7/22/2021
7241,7/23/2021
7242,7/23/2021
7255,7/24/2021
7256,7/24/2021
7263,7/25/2021
7264,7/25/2021
7271,7/26/2021
7272,7/26/2021
7282,7/27/2021
7284,7/27/2021
7291,7/28/2021
7292,7/28/2021
7303,7/29/2021
7304,7/29/2021
7311,7/30/2021
7312,7/30/2021
8012,7/31/2021
8014,7/31/2021
8022,8/1/2021
8023,8/1/2021
8032,8/2/2021
8033,8/2/2021
8042,8/3/2021
8043,8/3/2021
8056,8/4/2021
8057,8/4/2021
8061,8/5/2021
8062,8/5/2021
8071,8/6/2021
8072,8/6/2021
8083,8/7/2021
8084,8/7/2021
8091,8/8/2021
8094,8/8/2021
8102,8/9/2021
8103,8/9/2021
8114,8/10/2021
8115,8/10/2021
8121,8/11/2021
8122,8/11/2021
8131,8/12/2021
8135,8/12/2021
8141,8/13/2021
8142,8/13/2021
8151,8/14/2021
8154,8/14/2021
8161,8/15/2021
8162,8/15/2021
8174,8/16/2021
8175,8/16/2021
8181,8/17/2021
8183,8/17/2021
8191,8/18/2021
8192,8/18/2021
8203,8/19/2021
8204,8/19/2021
8214,8/20/2021
8215,8/20/2021
8222,8/21/2021
8225,8/21/2021
8231,8/22/2021
8235,8/22/2021
8241,8/23/2021
8246,8/23/2021
8251,8/24/2021
8252,8/24/2021
8261,8/25/2021
8268,8/25/2021
8272,8/26/2021
8277,8/26/2021
8281,8/27/2021
8284,8/27/2021
8292,8/28/2021
8293,8/28/2021
8304,8/29/2021
8305,8/29/2021
8311,8/30/2021
8316,8/30/2021
9011,8/31/2021
9012,8/31/2021
9022,9/1/2021
9023,9/1/2021
9032,9/2/2021
9034,9/2/2021
9041,9/3/2021
9045,9/3/2021
9053,9/4/2021
9056,9/4/2021
9062,9/5/2021
9065,9/5/2021
9071,9/6/2021
9072,9/6/2021
9083,9/7/2021
9084,9/7/2021
9099,9/8/2021
90910,9/8/2021
9101,9/9/2021
9102,9/9/2021
9112,9/10/2021
9113,9/10/2021
9122,9/11/2021
9127,9/11/2021
9131,9/12/2021
9134,9/12/2021
9147,9/13/2021
9148,9/13/2021
9153,9/14/2021
9154,9/14/2021
9161,9/15/2021
9162,9/15/2021
9171,9/16/2021
9172,9/16/2021
9182,9/17/2021
9183,9/17/2021
9192,9/18/2021
9193,9/18/2021
9201,9/19/2021
9204,9/19/2021
9211,9/20/2021
9212,9/20/2021
9223,9/21/2021
9224,9/21/2021
NA,9/22/2021
9241,9/23/2021
9243,9/23/2021
9252,9/24/2021
9253,9/24/2021
9263,9/25/2021
9264,9/25/2021
9271,9/26/2021
9273,9/26/2021
9282,9/27/2021
9284,9/27/2021
9295,9/28/2021
9296,9/28/2021
9306,9/29/2021
9308,9/29/2021
10012,9/30/2021
10013,9/30/2021
10021,10/1/2021
10023,10/1/2021
10031,10/2/2021
10035,10/2/2021
10043,10/3/2021
10044,10/3/2021
10052,10/4/2021
10053,10/4/2021
10062,10/5/2021
10063,10/5/2021
10071,10/6/2021
10072,10/6/2021
10086,10/7/2021
10087,10/7/2021
10091,10/8/2021
10093,10/8/2021
10103,10/9/2021
10104,10/9/2021
10111,10/10/2021
10118,10/10/2021
10123,10/11/2021
10125,10/11/2021
10132,10/12/2021
